z,T,t,fs,fl,x,y,w,rhob,p
0.0,634.416794549485,505.0,0.0,0.0,0.16090768335030667,0.23690029805530327,0.04773139918438562,1268.0,14330.0
0.025031289111389236,655.0265760816272,536.624700303331,7.466986755750911e-05,0.0,0.16093084838819377,0.23687713301644756,0.04773139918285387,1267.9838533869986,14358.523172514431
0.05006257822277847,673.7880020180031,565.3111693329087,0.0001762900065915331,0.0,0.16096237427667567,0.2368456071222908,0.047731399173880085,1267.961879043207,14388.382740007191
0.0750938673341677,690.9012670178315,591.3953247018976,0.00030682832287679223,0.0,0.16100287150512596,0.23680510986948428,0.04773139913536464,1267.9336514165502,14419.461098901496
0.10012515644555695,706.5390364429223,615.1634809207719,0.0004673939576642495,0.0,0.161052684110786,0.23675529718151092,0.047731399005199494,1267.8989306322264,14451.649629936277
0.1251564455569462,720.8512475904647,636.8617183940597,0.0006584107401457951,0.0,0.1611119434534544,0.23669603760818075,0.04773139864044549,1267.857624962943,14484.84812525443
0.1501877346683354,733.9688947696328,656.7030941341897,0.000879779221494511,0.0,0.16118061843343584,0.23662736207153243,0.047731397760167465,1267.8097557592882,14518.964209968337
0.17521902377972465,746.0070471557124,674.8732736118213,0.0011310147364627385,0.0,0.1612585582633293,0.2365494210513164,0.04773139587786636,1267.7554275582008,14553.912777262523
0.2002503128911139,757.0672801847093,691.5349875339623,0.0014113591158741708,0.0,0.1613455270651975,0.23646244994486856,0.04773139223354901,1267.6948038889686,14589.615447694656
0.22528160200250313,767.2396534434512,706.8316005635774,0.0017198681834998235,0.0,0.16144123096503782,0.23636674193665555,0.04773138573682718,1267.6280883216673,14626.000058246756
0.2503128911138924,776.6043340508546,720.889999586405,0.002055478753982416,0.0,0.1615453388463086,0.2362626272220041,0.04773137493094989,1267.5555099597818,14663.000183559225
0.2753441802252816,785.2329401000785,733.8229540557201,0.0024170590452636744,0.0,0.16165749798223306,0.2361504573693494,0.04773135798418996,1267.4773125342977,14700.554689882658
0.3003754693366708,793.1896609501175,745.7310620706361,0.00280344603451492,0.0,0.16177734564351504,0.23603059372569532,0.04773133271068026,1267.39374633729,14738.607321144164
0.32540675844806005,800.5321980624508,756.7043679682408,0.003213472716385828,0.0,0.16190451759756228,0.23590339894790077,0.04773129661866071,1267.305062354088,14777.10631586247
0.3504380475594493,807.3125603322039,766.8237169362277,0.003645987646582477,0.0,0.16203865423382205,0.23576923092184654,0.047731246980853334,1267.2115080758024,14816.004053283492
0.37546933667083854,813.5777405331778,776.1618972160276,0.0040998686443300915,0.0,0.1621794048900219,0.2356284384900812,0.04773118091967755,1267.113324583087,14855.256726934413
0.4005006257822278,819.3702939287696,784.7846093305672,0.004574032104556322,0.0,0.1623264308223378,0.23548135853985863,0.04773109549929486,1267.0107445830013,14894.824043739349
0.425531914893617,824.7288358327474,792.7512933768139,0.005067439032253893,0.0,0.1624794071578892,0.23532831410834873,0.04773098781686365,1266.9039911542338,14934.668946857986
0.45056320400500627,829.6884716026735,800.1158390308043,0.00557909864640121,0.0,0.1626380240867995,0.23516961324372987,0.047730855086594026,1266.793277013935,14974.75736047116
0.4755944931163955,834.2811699738752,806.9271979973,0.006108070195936117,0.0,0.1628019874889896,0.23500554842400712,0.04773069471187753,1266.6788041646287,15015.057954825355
0.5006257822277848,838.5360886174055,813.2299148215903,0.00665346347326789,0.0,0.1629710191437872,0.23483639638364764,0.04773050434260315,1266.560763814632,15055.541929949097
0.5256570713391739,842.4798592017363,819.0645889948654,0.007214438391140861,0.0,0.1631448566348313,0.23466241823481798,0.047730281916497266,1266.439336492252,15096.182816560551
0.5506883604505632,846.1368379585824,824.468278927814,0.007790203897761389,0.0,0.1633232530358221,0.23448385979785039,0.04773002568476609,1266.3146922944545,15136.956292792265
0.5757196495619524,849.5293267259079,829.4748564926512,0.00838001643619712,0.0,0.16350597644222908,0.23430095207667526,0.04772973422338675,1266.1869912262034,15177.840015462576
0.6007509386733416,852.6777686111263,834.115319332198,0.008983178101897164,0.0,0.16369280939848735,0.2341139118309728,0.047729406432073525,1266.0563835983128,15218.813464722294
0.6257822277847309,855.6009217430008,838.4180669237564,0.009599034612727313,0.0,0.16388354825826104,0.23392294220895574,0.04772904152327962,1265.923010460369,15259.857800998427
0.6508135168961201,858.3160140297472,842.40914540308,0.01022697317608818,0.0,0.1640780025061476,0.2337282334139381,0.04772863900364967,1265.787004051765,15300.955733243787
0.6758448060075094,860.8388814294134,846.1124654104985,0.010866420645509729,0.0,0.16427599416456312,0.2335299632823856,0.047728198650194543,1265.648488187241,15342.091397582068
0.7008760951188986,863.184822843765,849.5510336276427,0.01152282487461751,0.0,0.16447921338617813,0.23332644167246336,0.0477277204802172,1265.5062848323923,15383.250260558158
0.7259073842302879,865.3671639246262,852.7449210947153,0.01219550510646469,0.0,0.16468744920033626,0.233117879692785,0.0477272047120408,1265.3605413139255,15424.41906450399
0.7509386733416771,867.3976026251071,855.7117855063441,0.0128787724440218,0.0,0.16489893711341713,0.23290604209992363,0.04772665176164381,1265.2124880272704,15465.58560127997
0.7759699624530664,869.2875287787109,858.4687510428624,0.013572195081507851,0.0,0.16511354369945758,0.23269106268386935,0.04772606220482887,1265.0622186621915,15506.738680755734
0.8010012515644556,871.0474464881615,861.0315961212134,0.014275370045612043,0.0,0.16533114459183557,0.23247306625795908,0.047725436748146444,1264.9098207455063,15547.868062372183
0.8260325406758448,872.687047968981,863.4148674879078,0.014987921522432703,0.0,0.16555162394228845,0.23225216918416136,0.04772477620407035,1264.755375989236,15588.964380796824
0.851063829787234,874.2152805069367,865.6319834108587,0.015709499144377276,0.0,0.16577487386948198,0.23202847991020994,0.04772408146838739,1264.5989606486391,15630.01907738591
