z,t,T,fs,fl,x,y,w,rhob,p
0.0,505.28,595.14,0.0,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.012023,505.28,595.14,5.188132514557259e-06,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.014119,505.28,595.14,6.09259277826116e-06,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.033191,505.28,601.1019041853739,1.4322490750284453e-05,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.073588,544.5806929181224,613.73,3.175449517435245e-05,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.076414,547.33,614.2415422184988,3.297396306806773e-05,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.088468,550.949352896915,616.423470704622,3.817547261896794e-05,0.0,0.24338400000000002,0.17434,0.04055,1267.6,1.4771
0.09307,552.3311566161453,617.2564916846402,4.016131523994378e-05,0.0,0.24338400000000002,0.17433134903718947,0.04055,1267.6,1.4771
0.098347,553.9156368913254,618.2116963155737,4.2438432039354795e-05,0.0,0.24338400000000002,0.174321429191307,0.04055042849312844,1267.6,1.4771
0.13659,565.3985398975241,625.134169444395,5.8940948196238535e-05,0.0,0.2435104100421544,0.17424953897601736,0.04055353383000752,1267.6,1.4771
0.18579,580.171408864524,634.04,8.017159942440265e-05,0.0,0.24367303781910693,0.17415705149877317,0.040557528876799094,1267.6,1.4845347675625793
0.18805,580.85,634.3104363163758,8.114682852553377e-05,0.0,0.24368050811943034,0.1741528030902656,0.040557712389111066,1267.6,1.4848762833083402
0.27252,595.74,644.4182927961381,0.00011759709497356267,0.0,0.24395971885762507,0.17399401412272866,0.040564571364771325,1267.6,1.497640812089053
0.29351,599.0920648024855,646.93,0.00012665464312964326,0.0,0.24402910009823958,0.17395455655875802,0.04056627575566878,1267.6,1.5008126773560966
0.38517,613.73,657.5160315724731,0.00016620751897463356,0.0,0.24433207696887918,0.17378225163672134,0.040573718560321555,1267.6,1.5146637097704465
0.43984,622.6283500557413,663.83,0.0001897985698413761,0.0,0.2445127855169685,0.17367948150702744,0.04057815777186821,1267.6,1.5229250663282963
0.48335,629.7102452619844,668.1992265030385,0.000208573887624657,0.0,0.24465660532540762,0.17359769024412305,0.04058169078987434,1267.6,1.5295
0.48384,629.79,668.2484317658859,0.00020878533110233586,0.0,0.2446582249922919,0.17359676912900418,0.04058173057794198,1267.6,1.5295697343453512
0.56822,646.81,676.7217788660098,0.00024519676099324004,0.0,0.24493713824065072,0.1734381493458768,0.04058858224558982,1267.6,1.5415782732447818
0.60933,651.976976551887,680.85,0.0002629364372531959,0.0,0.24507302498679948,0.17336086966722825,0.04059192038326465,1267.6,1.547428842504744
0.73626,667.9303780048432,697.87,0.000317708928318051,0.0,0.24549258481868128,0.17312226325489885,0.0406022271167861,1267.6,1.5654928842504745
0.73753,668.09,697.9975794524859,0.00031825695529081054,0.0,0.2454967827308099,0.17311987587489683,0.04060233024096141,1267.6,1.565673624288425
0.79598,673.9575320588467,703.8692479546885,0.00034347914155679005,0.0,0.24568998585200658,0.17301,0.04060707638902986,1267.6,1.573991935483871
0.85225,679.6062237432145,709.5219218061674,0.00036776062010574926,0.0,0.24587598310828948,0.17277896715367388,0.040611645520797386,1267.6,1.582
0.86338,680.723514278971,710.64,0.00037256340767016934,0.0,0.24591277268466105,0.17273326970246347,0.04061254927833377,1267.6,1.583550065116279
0.86464,680.85,710.7875624517126,0.000373107119469915,0.0,0.2459169375423635,0.17272809640610004,0.040612651590507705,1267.6,1.5837255441860465
0.89945,684.7860622342938,714.8642679629153,0.0003881282367311425,0.0,0.24603200000000003,0.17258517382958302,0.04061547816731288,1267.6,1.5885735016611295
1.0187,698.2699870099196,728.83,0.0004395866749213573,0.0,0.2466336426301638,0.17209555828090006,0.040625161283774185,1267.6,1.605181342192691
1.034,700.0,729.9020822281168,0.0004461888896325547,0.0,0.2467108345147886,0.17203273968220112,0.0406264036458862,1267.6,1.6073121594684385
1.07829,704.4472908554573,733.0055150309461,0.0004653007909109163,0.0,0.24693428736250309,0.17185089420923536,0.04063,1267.6,1.6134803880398672
1.0892,705.542796460177,733.7699867374006,0.0004700086446690315,0.0,0.2469893307259839,0.17180610003199318,0.04063190060856638,1267.6,1.6149998139534885
1.2035,717.02,741.7790716180372,0.0005193310722173884,0.0,0.247565999511122,0.17133680814759517,0.0406518125754901,1267.3607314370151,1.6309182724252493
1.2285,718.8525054330953,743.5308399646331,0.0005301190047520246,0.0,0.24769213004155466,0.17123416337847924,0.04065616777385487,1267.3083979805442,1.6344
1.2449,720.0546289972058,744.68,0.000537195888494746,0.0,0.24777487166951848,0.17116682840993921,0.04065902478398216,1267.2740672330992,1.6367817427385893
1.3586,728.3888637069233,753.2359752504419,0.0005862594056622717,0.0,0.2483485133219262,0.1707,0.04067883222614513,1267.0360546730699,1.6532941908713694
1.4146,732.4936758770568,757.45,0.0006104243745398568,0.0,0.24863104571009534,0.17044051191526918,0.040688587870482205,1266.918827730575,1.661426970954357
1.4941,738.3210431542999,761.1291350792557,0.00064473,0.0,0.2490321407968712,0.17007213150926742,0.04070243740128217,1266.7524073389977,1.6729726141078838
1.5131,739.7137472834523,762.0084252239835,0.0009319020194239773,0.0,0.24912800000000002,0.1699840909090909,0.04070574735203939,1266.7126339120798,1.675731950207469
1.5256,740.63,762.5869055823571,0.0011208309795713344,0.0,0.2491962382133995,0.16992616946160635,0.040707924951221774,1266.6864671838443,1.6775473029045644
1.59,745.0064788732394,765.5672363886974,0.002094192982250504,0.0,0.24954780148883376,0.16962775816416592,0.04071914394220942,1266.5516561999755,1.6869
1.7048,752.808028169014,770.88,0.003829316552243807,0.0,0.2501745012406948,0.16909580759046777,0.040739143013100436,1266.311340967861,1.7014583736689255
1.8118,760.0795070422536,775.0297996995494,0.005446548451105161,0.0,0.25075862034739455,0.1686,0.040757783262101645,1266.0873537741659,1.7150275895450147
1.838,761.86,776.0459188783175,0.005842543551574014,0.0,0.2509016476426799,0.16844516057091882,0.04076234750998792,1266.0325083117843,1.7183501452081318
1.9013,765.4120634121791,778.5008938407611,0.006799279805760216,0.0,0.251247205955335,0.1680710637823372,0.04077337487224751,1265.9,1.7263775411423041
1.93933,767.5461071967791,779.9758179769655,0.0073740772741125275,0.0,0.2514548138957816,0.16784631021409455,0.04078,1265.8434544853792,1.7312003194578898
2.0032,771.1301560140917,782.4528993490235,0.00833942868888145,0.0,0.25180348387096774,0.16746884478144514,0.04078,1265.748488352883,1.7393
2.0773,775.2882586814293,785.3267325988984,0.009459399564634968,0.0,0.252208,0.16703092105263156,0.04078,1265.6383115810343,1.747805137735024
2.0913,776.0738651233014,785.8696970455684,0.009671,0.0,0.2523328240262787,0.166948182426405,0.04078,1265.6174954567985,1.7494120463489289
2.1042,776.7977453447409,786.37,0.009943342273506942,0.0,0.25244784045049273,0.16687194469223907,0.04078,1265.598314885181,1.7508926978574553
2.2354,784.16,791.7922437841115,0.012713210977701542,0.0,0.25361761989676207,0.16609656556645852,0.04078,1265.40323806377,1.7659517271534761
2.2602,785.1081551263934,792.8171801091571,0.013236783720567602,0.0,0.253838736743313,0.16595,0.04078,1265.3663637865523,1.7687982509838216
2.434,791.7528874234573,800.0,0.01690601528145954,0.0,0.25538833786954485,0.16426239894551845,0.04078,1265.1079464728234,1.7887468736335812
2.4606,792.7698602606374,800.5871867219917,0.01746758927179167,0.0,0.25562550351947444,0.16400411247803162,0.04078,1265.0683958367752,1.7918
2.5035,794.410015701052,801.5341908713693,0.018373285669733348,0.0,0.256008,0.16358755272407732,0.04078,1265.0046092846521,1.796181233933162
2.5066,794.5285350918512,801.6026224066391,0.018438732262591614,0.0,0.25603705031446544,0.1635574516695958,0.04078,1265.0,1.796497826594999
2.62465,799.0418299576071,804.2085394190872,0.020930980742242318,0.0,0.25714330503144656,0.16241118409490335,0.04078,1264.884082875098,1.8085538794110774
2.7154,802.5113895430993,806.2118174273859,0.02284687696865741,0.0,0.2579937295597484,0.16153,0.04076508061966487,1264.7949725058916,1.8178218742696892
2.7326,803.1689810017272,806.5915020746888,0.02321,0.0,0.25815491194968554,0.16137739039665971,0.04076225292443882,1264.7780832678711,1.8195784529095582
