initial_mesh,status,elapsed_s,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,fl_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_fl_out,rel_diff_fl_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
70,success,95.56938510015607,True,0.001,176.0,0.0009539893165244972,2.5394605100409228e-21,634.4168930986559,1622.0357188189291,0.9056355289912774,0.9983844090583708,0.16090766869662645,0.23690025871529274,0.047731427828582126,1031.4789219433922,32805.64450370921,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
60,fail: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),139.95970479981042,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,False
50,success,377.5217854999937,True,0.001,760.0,0.0009653228245998384,1.7902151648696225e-21,634.4167868903442,1622.0354415211652,0.905635748398068,0.9983883164192813,0.1609076721287068,0.23690029593205714,0.04773139964743881,1031.4787859566827,32805.64713547034,True,0.00010620831176311185,1.674109137358607e-07,0.00027729776388696337,1.7095663225522262e-07,2.194067906247099e-07,2.422683117005043e-07,3.907360910493374e-06,3.913683822625609e-06,3.432080342147259e-09,2.1329501383915178e-08,3.7216764392500323e-08,1.5709887610223134e-07,2.8181143314764956e-08,5.90410649687076e-07,0.00013598670943792968,1.3183663431698574e-07,0.0026317611263948493,8.022281428116085e-08,0.0026317611263948493,3.913683822625609e-06,True
