initial_mesh,status,elapsed_s,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,fl_out,x_out,y_out,w_out,rhob_out,p_bottom
90,success,125.16407070006244,True,0.001,181,0.0009401753231255339,1.0782337435256923e-20,634.4167602872488,1622.036082825508,0.9056352630998283,0.9983859586864915,0.16090762159583077,0.2369002649798975,0.0477314107794896,1031.4789915298936,32805.647962672876
80,success,115.35274080000818,True,0.001,191,0.0009885725368462127,4.0314238579346024e-21,634.4169224313578,1622.035561717359,0.9056356868553584,0.9983854238304316,0.16090771326948214,0.23690024311181637,0.04773139905039142,1031.4788493120213,32805.63973378936
70,success,96.3118986999616,True,0.001,176,0.0009539893165244972,2.5394605100409228e-21,634.4168930986559,1622.0357188189291,0.9056355289912774,0.9983844090583708,0.16090766869662645,0.23690025871529274,0.047731427828582126,1031.4789219433922,32805.64450370921
