initial_mesh,status,elapsed_s,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,fl_out,x_out,y_out,w_out,rhob_out,p_bottom
100,success,106.14188480004668,True,0.001,216,0.0008691941400664878,9.33550601004967e-21,634.4169114633424,1622.0363229303293,0.9056356503448201,0.9983791291500269,0.16090758566821464,0.23690028188934453,0.047731397624721485,1031.4790204909618,32805.64204105643
150,success,168.38553259987384,True,0.001,349,0.0009918058168060298,2.5457137548760616e-21,634.4168258207396,1622.0355665406817,0.9056357537679655,0.9983872086249034,0.16090766234098192,0.23690029524299616,0.04773139829769169,1031.4788091127866,32805.64562093541
200,success,179.7906217998825,True,0.001,412,0.0008794370372582768,2.4805944154875147e-21,634.4167527258512,1622.0362814340133,0.9056355267800491,0.9983809232796632,0.16090759515830505,0.2369002780743497,0.0477314091012378,1031.4790173905626,32805.6453855054
250,success,248.5662120000925,True,0.001,518,0.0009620175579749143,1.2793101908326337e-22,634.4167573090821,1622.0357918717662,0.9056356512823532,0.9983852964657751,0.16090764412261085,0.23690028580809394,0.04773140375431301,1031.478881460622,32805.645713303384
