initial_mesh,status,elapsed_s,bvp_success,bvp_tol_final,bvp_n_nodes_final,bvp_max_rms_residual_final,bvp_bc_l2_residual_final,T_out,t_out,fs_out,fl_out,x_out,y_out,w_out,rhob_out,p_bottom,equation_converged,abs_diff_T_out,rel_diff_T_out,abs_diff_t_out,rel_diff_t_out,abs_diff_fs_out,rel_diff_fs_out,abs_diff_fl_out,rel_diff_fl_out,abs_diff_x_out,rel_diff_x_out,abs_diff_y_out,rel_diff_y_out,abs_diff_w_out,rel_diff_w_out,abs_diff_rhob_out,rel_diff_rhob_out,abs_diff_p_bottom,rel_diff_p_bottom,abs_diff_outlet_max,rel_diff_outlet_max,solution_stable_vs_ref
40,success,64.22225610003807,True,0.001,131.0,0.000986585151123569,1.381701574846831e-20,634.4169726596672,1622.0368254531004,0.9056357922607575,0.9983704407636566,0.16090759268743482,0.2369002353183517,0.04773139813139408,1031.479143570324,32805.6524788977,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
30,success,198.17718990007415,True,0.001,328.0,0.0007746915515895519,5.504960278525558e-23,634.4168357452893,1622.0355922315732,0.9056357186287001,0.9983866613896595,0.16090765848316088,0.23690029066708404,0.04773139870720229,1031.4788315193896,32805.643726903894,True,0.0001369143778902071,2.158113414214326e-07,0.0012332215271726454,7.602919414780592e-07,7.363205745125612e-08,8.130427052518196e-08,1.6220626002927396e-05,1.6247101617431892e-05,6.579572606191242e-08,4.089037997710991e-07,5.534873234736004e-08,2.3363730421365438e-07,5.758082136098075e-10,1.2063510312954456e-08,0.00031205093432618014,3.0252762382190154e-07,0.0087519938024343,2.66783104163651e-07,0.0087519938024343,1.6247101617431892e-05,True
20,fail: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),98.07314079999924,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,False
10,fail: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),35.0755288999062,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,False
