param,value,case_name,H0,HH,T_out,t_out,fs_out,fl_out,x_out,y_out,w_out,rhob_out,p_bottom,profile_rmse
epsilon,0.21,default_case_epsilon_0.21,0.0,20.0,634.5527991979367,1623.2439329449428,0.9085500612157453,0.9987246124329735,0.15983603148406053,0.23792750321337425,0.04776007084854197,1030.882558154626,36208.14071230157,1511.373676933709
epsilon,0.22,default_case_epsilon_0.22,0.0,20.0,634.4167940943564,1622.0353138193263,0.9056357820020852,0.9983894438706847,0.1609076820580151,0.23690030013030552,0.047731399172107086,1031.47875097962,32805.64767634035,781.4671860160972
epsilon,0.23,default_case_epsilon_0.23,0.0,20.0,634.1323431805566,1620.9519478172997,0.9014953971861696,0.9987098815397659,0.1622061045087398,0.23560220178629018,0.047712125357156236,1032.3693966921464,30144.07514743394,216.4345514822515
epsilon,0.24,default_case_epsilon_0.24,0.0,20.0,633.6715390687374,1621.3023192100882,0.8955797389222006,1.0000005893132529,0.1634340774224834,0.23417846445788146,0.04771267200950706,1033.800806925869,27973.401594585135,357.8150978934955
epsilon,0.25,default_case_epsilon_0.25,0.0,20.0,633.2252217759876,1621.5904592688978,0.8899946719986956,1.0000000593179474,0.16463076518712821,0.23280135942993258,0.047713978707117556,1035.1650025688086,26119.33714093679,771.0710028501793
