z,T,t,fs,fl,x,y,w,rho_b,p
0.0,618.2108881561105,505.0,0.0,0.0,0.16113690245829024,0.236817139375177,0.047724182751318844,1268.0,14330.0
0.050505050505050504,653.6324548120873,556.1844244947707,0.00016908935861199072,0.0,0.1611893467873131,0.2367646950416023,0.047724182744119055,1267.9634361131402,14386.239591678948
0.10101010101010101,683.9027471447838,599.704847721267,0.0004337648564678876,0.0,0.16127143780509876,0.23668260396851384,0.047724182656644826,1267.9062026354518,14446.882807517442
0.20202020202020202,732.34767202744,668.9554304009254,0.001269917729286659,0.0,0.16153077426912346,0.23642326561347027,0.04772417966555835,1267.725391295825,14578.85541429065
0.30303030303030304,768.6615781475582,720.5493549764025,0.0025020569954009694,0.0,0.16191290843186673,0.2360411148623872,0.04772415342724011,1267.458939093433,14721.633622072644
0.40404040404040403,796.1969715750861,759.4840775991291,0.004086973489505596,0.0,0.1624043838801699,0.23554956873734217,0.0477240416355716,1267.1161553658148,14871.973421096352
0.4713804713804714,810.8439981327251,780.1224064999346,0.005314578834309245,0.0,0.1627849820515517,0.23516886060850034,0.047723867712456264,1266.8506024846338,14975.165991852278
0.5387205387205387,823.1321007645463,797.392335724532,0.0066623307365606755,0.0,0.16320273700955273,0.2347509181858844,0.04772357119420828,1266.5590017946133,15080.051408292225
0.6060606060606061,833.4690029281044,811.8831373035742,0.008117397838388812,0.0,0.16365363849892364,0.23429972962202666,0.047723117120878296,1266.2441087518519,15186.160368885736
0.6734006734006734,842.1858292566309,824.0711441536041,0.009668398746338786,0.0,0.1641341317863062,0.23381883166305537,0.04772247704253365,1265.9083688467056,15293.10594541975
0.7407407407407408,849.5534230669509,834.3444857318191,0.011305368309734247,0.0,0.16464110909376428,0.23331131958716705,0.04772163118940184,1265.5539260874148,15400.569664777786
0.8080808080808081,855.7946162746077,843.0214906454029,0.013019651836672145,0.0,0.16517187700119618,0.23277987997017713,0.04772056873744521,1265.1826460207292,15508.289933958178
0.8417508417508417,858.5516827951315,846.8452710749295,0.013903440868481182,0.0,0.16544545407097494,0.23250591495127426,0.04771995511478332,1264.9911985374108,15562.177673258382
0.8501683501683501,859.2066811255116,847.7527156584147,0.014127687669886783,0.0,0.1655148642693377,0.23243640234971374,0.04771979314290241,1264.9426184695244,15575.64842264365
0.8585858585858586,859.8489072729616,848.642065694905,0.014355987227276002,0.0,0.16558552849800995,0.23236563355908355,0.047719627756574436,1264.893160158782,15589.118019203735
0.8754208754208754,861.0952202453631,850.3667997124401,0.014817011987538646,0.0,0.1657282207375716,0.2322227257401907,0.04771928677359551,1264.7932809291412,15616.0524702732
0.9427609427609428,865.6090919907717,856.5990764547959,0.016702489640442342,0.0,0.16631170709129955,0.23163829214816506,0.04771778852550329,1264.3847425453719,15723.682817771694
1.0101010101010102,869.4608916302603,861.8954327034536,0.018650139656349162,0.0,0.16691429626651172,0.23103462392349997,0.047716081798416916,1263.9626455322589,15831.038618943572
1.0774410774410776,872.7568923369516,866.4064923774376,0.020655351598450285,0.0,0.16753456816968176,0.23041314794644985,0.04771417732853494,1263.5279927462493,15938.004421363124
1.1447811447811447,875.5859913473859,870.2580991075763,0.02271419431806113,0.0,0.16817131477635336,0.22977508003852457,0.04771208744975305,1263.081641032048,16044.487228679272
1.2121212121212122,878.0226799167,873.5555960815174,0.024823322584897077,0.0,0.16882351030171597,0.22912145416762514,0.047709825106199866,1262.6243208706467,16150.412665024134
1.2794612794612794,880.1294654506312,876.3873036319955,0.026979895578411666,0.0,0.1694902853040175,0.22845314790142307,0.047707403151230704,1262.1566536197943,16255.721782774208
1.3468013468013469,881.958858634896,878.8273633953875,0.029181506137166628,0.0,0.17017090433221566,0.2277709044647219,0.047704833880888906,1261.679166556896,16360.36840564216
1.4141414141414141,883.5550119126113,880.9380772733441,0.031426119576731186,0.0,0.170864746700663,0.22707535178372898,0.04770212874760625,1261.1923059517826,16464.31691737398
1.4814814814814816,884.955076235672,882.7718399066176,0.03371202091203336,0.0,0.17157128998706256,0.22636701889059738,0.0476992982060414,1260.6964483946624,16567.540421480262
1.5488215488215487,886.1903285541329,884.3727415703572,0.03603776940382571,0.0,0.17229009588387711,0.22564635003328382,0.0476963516518722,1260.1919105913557,16670.019209990158
1.6161616161616161,887.2871115940954,885.7779020729406,0.03840215945578345,0.0,0.1730207980744706,0.22491371680031758,0.04769329742328265,1259.6789578197004,16771.739489634343
1.6835016835016834,888.2676191344013,887.0185838488304,0.04080418700025046,0.0,0.17376309184674268,0.22416942853349756,0.0476901428426508,1259.1578112211732,16872.69232251049
1.7508417508417509,889.1505535438974,888.1211229147667,0.04324302061754182,0.0,0.17451672519574363,0.22341374126677782,0.04768689428222032,1258.6286540821036,16972.87274546834
1.8181818181818181,889.9516773010668,889.1077089591101,0.04571797673179304,0.0,0.17528149120147324,0.222646865397948,0.04768355724238428,1258.0916372403028,17072.279038422097
1.8855218855218856,890.6842762396898,889.9970400228694,0.04822849831412345,0.0,0.17605722149850284,0.22186897227157162,0.04768013643483559,1257.5468837359492,17170.912116764903
1.952861952861953,891.3595490961073,890.8048726228817,0.05077413660126454,0.0,0.1768437806804019,0.2210801998269766,0.04767663586548542,1256.9944928102834,17268.775027193482
2.0202020202020203,891.9869353907715,891.5444844813883,0.05335453540539676,0.0,0.17764106150458778,0.2202806574436525,0.047673058913944924,1256.4345433420965,17365.87252969354
2.087542087542088,892.5743916222601,892.227064053666,0.055969417649633445,0.0,0.17844898078259347,0.21947043009787232,0.04766940840769375,1255.8670968000258,17462.210751304934
2.1548821548821553,893.1286240841031,892.8620386303369,0.05861857381436502,0.0,0.17926747585729919,0.2186495819283837,0.04766568668997156,1255.292199778202,17557.796899677385
2.2222222222222223,893.6552852585113,893.4573508146999,0.061301852023475246,0.0,0.18009650158279597,0.21781815929527834,0.047661895681041094,1254.7098861736508,17652.639026424134
2.2895622895622894,894.1591396428666,894.0196915456064,0.06401914953712122,0.0,0.1809360277345839,0.21697619340436602,0.047658036932869664,1254.1201790559242,17746.74583195053
2.356902356902357,894.644203990672,894.5546964788446,0.0667704054500575,0.0,0.18178603678803928,0.2161237025593063,0.047654111677524924,1253.5230922725934,17840.126504835695
2.4242424242424243,895.1138662862882,895.0671113913036,0.06955559442195058,0.0,0.1826465220117298,0.2152606940951984,0.047650120869727704,1252.9186318283778,17932.790590030065
2.491582491582492,895.5709873392243,895.5609312717871,0.07237472128911392,0.0,0.18351748582935373,0.21438716604018393,0.047646065224085356,1252.3067970707496,18024.747881148985
2.558922558922559,896.017988742933,896.0395168421398,0.07522781642560142,0.0,0.1843989384098533,0.2135031085458697,0.047641945247571205,1251.6875817108921,18116.00833304493
2.6262626262626263,896.456931241108,896.505691320882,0.07811493173507038,0.0,0.1852908964494531,0.21260850512319582,0.04763776126784435,1251.0609747059711,18206.58199169365
2.6936026936026938,896.8895885769941,896.9618191603747,0.08103613716172645,0.0,0.18619338211154732,0.21170333371822708,0.047633513458046076,1250.4269610272283,18296.478939326316
2.7609427609427613,897.3175242358587,897.4098670448678,0.08399151760578054,0.0,0.18710642208953887,0.21078756766322476,0.04762920185879996,1249.7855223390654,18385.709253834462
2.8282828282828283,897.7421831728896,897.8514453530396,0.08698117011036184,0.0,0.188030046752159,0.20986117654405226,0.04762482639833697,1249.1366376183996,18474.282983031087
2.8956228956228958,898.1650194523203,898.2878254578542,0.09000520114417501,0.0,0.1889642893178718,0.2089241270381263,0.0476203869120356,1248.4802837529937,18562.210136833044
2.9629629629629632,898.5876963983792,898.7199258996612,0.09306372373159934,0.0,0.18990918498294362,0.20797638379952432,0.04761588316326039,1247.8164361734873,18649.500704612597
3.0303030303030303,899.012420803938,899.1482656351844,0.096156854106528,0.0,0.19086476990486392,0.20701791049113388,0.04761131486798472,1247.1450695904928,18736.16471199348
3.0976430976430973,899.4425027731437,899.572921269472,0.0992847076612045,0.0,0.19183107997158205,0.20604867103446503,0.04760668172491497,1246.4661588871618,18822.21234230583
3.131313131313131,899.6610993061868,899.7837956985265,0.10086169041922652,0.0,0.19231826775898497,0.2055600031181323,0.04760434074429869,1246.1238669180193,18865.008294308616
3.164983164983165,899.8832370598799,899.9936703394271,0.10244739489325624,0.0,0.19280814956977044,0.20506863086028684,0.04760198344537777,1245.7796800120093,18907.654162271367
3.1986531986531985,900.1100805035936,900.202607199017,0.1040418340670975,0.0,0.1933007294479767,0.20457455019533363,0.04759960979406505,1245.4335953429288,18950.151387698148
3.2323232323232323,900.3430615615038,900.4108406112477,0.10564502130905822,0.0,0.19379601155295045,0.20407775693911812,0.047597219751132,1245.085609998609,18992.50149153987
3.265993265993266,900.5838899540811,900.6189089934611,0.10725697152893882,0.0,0.19429400051029336,0.20357824643202702,0.04759481326279544,1244.7357207255575,19034.70609348094
